日付,始値,高値,安値,終値
2009-12-30,10707.51,10707.51,10546.44,10546.44
2009-12-29,10611.85,10683.12,10597.41,10638.06
2009-12-28,10521.81,10652.99,10513.55,10634.23
2009-12-25,10546.97,10546.97,10476.65,10494.71
2009-12-24,10413.37,10558.41,10413.37,10536.92
2009-12-22,10256.00,10378.03,10235.22,10378.03
2009-12-21,10196.71,10215.49,10183.47,10183.47
2009-12-18,10110.64,10157.25,10027.85,10142.05
2009-12-17,10199.92,10260.12,10163.80,10163.80
2009-12-16,10179.33,10222.22,10117.12,10177.41
2009-12-15,10053.45,10111.76,10033.90,10083.48
2009-12-14,10126.61,10126.61,10009.60,10105.68
2009-12-11,9958.00,10107.87,9916.21,10107.87
2009-12-10,9964.05,10035.92,9834.22,9862.82
2009-12-09,10048.94,10048.94,9985.97,10004.72
2009-12-08,10079.81,10149.32,10079.81,10140.47
2009-12-07,10131.90,10204.58,10106.31,10167.60
2009-12-04,10019.24,10022.59,9902.83,10022.59
2009-12-03,9707.02,9977.67,9707.02,9977.67
2009-12-02,9551.79,9643.32,9514.15,9608.94
2009-12-01,9281.82,9572.20,9233.20,9572.20
2009-11-30,9189.17,9353.74,9162.18,9345.55
2009-11-27,9257.20,9257.20,9076.41,9081.52
2009-11-26,9354.80,9457.24,9324.99,9383.24
2009-11-25,9381.90,9453.70,9366.33,9441.64
2009-11-24,9511.00,9511.00,9397.79,9401.58
2009-11-20,9460.21,9513.60,9423.66,9497.68
2009-11-19,9691.86,9691.86,9496.07,9549.47
2009-11-18,9723.23,9788.81,9631.83,9676.80
2009-11-17,9834.58,9847.64,9715.28,9729.93
2009-11-16,9784.14,9802.53,9725.81,9791.18
2009-11-13,9793.19,9805.20,9719.38,9770.31
2009-11-12,9921.45,9943.57,9788.49,9804.49
2009-11-11,9890.18,9949.71,9849.99,9871.68
2009-11-10,9904.68,9979.46,9857.10,9870.73
2009-11-09,9777.64,9845.90,9731.59,9808.99
2009-11-06,9812.73,9849.72,9767.00,9789.35
2009-11-05,9803.50,9825.82,9691.69,9717.44
2009-11-04,9785.28,9845.00,9767.91,9844.31
2009-11-02,9903.77,9904.61,9736.14,9802.95
2009-10-30,10006.84,10049.59,9984.33,10034.74
2009-10-29,9941.57,9945.41,9850.12,9891.10
2009-10-28,10182.14,10209.20,10060.39,10075.05
2009-10-27,10283.46,10290.92,10201.93,10212.46
2009-10-26,10271.84,10397.69,10250.84,10362.62
2009-10-23,10335.34,10364.17,10271.71,10282.99
2009-10-22,10251.09,10274.61,10159.66,10267.17
2009-10-21,10292.39,10350.45,10292.39,10333.39
2009-10-20,10329.30,10357.59,10307.59,10336.84
2009-10-19,10179.46,10264.44,10125.33,10236.51
2009-10-16,10276.40,10290.31,10216.14,10257.56
2009-10-15,10194.91,10272.62,10184.81,10238.65
2009-10-14,10096.01,10096.01,10016.24,10060.21
2009-10-13,10066.85,10116.72,10039.62,10076.56
2009-10-09,9893.63,10016.39,9857.39,10016.39
2009-10-08,9806.03,9863.34,9746.15,9832.47
2009-10-07,9750.24,9821.74,9735.68,9799.60
2009-10-06,9744.42,9744.42,9628.67,9691.80
2009-10-05,9733.07,9751.56,9669.31,9674.49
2009-10-02,9848.07,9852.17,9714.18,9731.87
2009-10-01,10072.64,10077.22,9965.06,9978.64
2009-09-30,10105.17,10138.04,10063.69,10133.23
2009-09-29,10089.11,10125.88,10059.87,10100.20
2009-09-28,10136.24,10151.60,9971.05,10009.52
2009-09-25,10395.45,10395.45,10228.60,10265.98
2009-09-24,10405.53,10566.98,10386.88,10544.22
2009-09-18,10379.21,10399.42,10292.50,10370.54
2009-09-17,10373.25,10443.80,10340.14,10443.80
2009-09-16,10288.72,10394.56,10247.24,10270.77
2009-09-15,10255.73,10292.47,10183.30,10217.62
2009-09-14,10388.32,10388.32,10170.74,10202.06
